Year,Month,Amt directly diverted or collected to sotrage (AF),Amount use (AF),
2009,January,901,901,
2009,February,996,996,
2009,March,1293,1293,
2009,April,1297,1297,
2009,May,1343,1343,
2009,June,1548,1548,
2009,July,1822,1822,
2009,August,0,0,
2009,September   ,0,0,
2009,October,0,0,
2009,November,251,251,
2009,December,0,0,
2010,January,586,586,
2010,February,968,968,
2010,March,1260,1260,
2010,April,897,897,
2010,May,1122,1122,
2010,June,1505,1505,
2010,July,1735,1735,
2010,August,0,0,
2010,September   ,0,0,
2010,October,0,0,
2010,November,899,899,
2010,December,1223,1223,
2011,January,1189,1189,
2011,February,137,137,
2011,March,0,0,
2011,April,658,658,
2011,May,1065,1065,
2011,June,918,918,
2011,July,1386,1386,
2011,August,0,0,
2011,September   ,0,0,
2011,October,0,0,
2011,November,746,746,
2011,December,1209,1209,
2012,January,1203,1203,
2012,February,182,182,
2012,March,0,0,
2012,April,152,152,
2012,May,1297,1297,
2012,June,1691,1691,
2012,July,1836,1836,
2012,August,0,0,
2012,September   ,0,0,
2012,October,0,0,
2012,November,266,266,
2012,December,0,0,
2013,January,0,0,
2013,February,314,314,
2013,March,1035,1035,
2013,April,1117,1117,
2013,May,1341,1341,
2013,June,1406,1406,
2013,July,1621,1621,
2013,August,0,0,
2013,September   ,0,0,
2013,October,0,0,
2013,November,327,327,
2013,December,1115,1115,
2014,January,1234,1234,
2014,February,961,961,
2014,March,42,42,
2014,April,99,99,
2014,May,681,681,
2014,June,953,953,
2014,July,850,850,
2014,August,0,0,
2014,September   ,0,0,
2014,October,0,0,
2014,November,463,463,
2014,December,473,473,
2015,January,893,893,
2015,February,815,815,
2015,March,947,947,
2015,April,575,575,
2015,May,518,518,
2015,June,625,625,
2015,July,733,733,
2015,August,0,0,
2015,September   ,0,0,
2015,October,0,0,
2015,November,217,217,
2015,December,0,0,
2016,January,159,159,
2016,February,451,451,
2016,March,477,477,
2016,April,560,560,
2016,May,789,789,
2016,June,976,976,
2016,July,1043,1043,
2016,August,0,0,
2016,September   ,0,0,
2016,October,0,0,
2016,November,179,179,
2016,December,0,0,
2017,January,0,0,
2017,February,0,0,
2017,March,302,302,
2017,April,801,801,
2017,May,1341,1341,
2017,June,935,935,
2017,July,1212,1212,
2017,August,0,0,
2017,September   ,0,0,
2017,October,0,0,
2017,November,590,590,
2017,December,673,673,
2018,January,601,601,
2018,February,454,454,
2018,March,0,0,
2018,April,0,0,
2018,May,325,325,
2018,June,789,789,
2018,July,772,772,
2018,August,0,0,
2018,September   ,0,0,
2018,October,0,0,
2018,November,202,202,
2018,December,294,294,
2019,January,727,727,
2019,February,670,670,
2019,March,739,739,
2019,April,869,869,
2019,May,727,727,
2019,June,729,729,
2019,July,975,975,
2019,August,0,0,
2019,September   ,0,0,
2019,October,0,0,
2019,November,717,717,
2019,December,908,908,
2020,January,898,898,
2020,February,891,891,
2020,March,43,43,
2020,April,0,0,
2020,May,491,491,
2020,June,795,795,
2020,July,787,787,
2020,August,0,0,
2020,September   ,0,0,
2020,October,0,0,
2020,November,452,452,
2020,December,439,439,
