Year,Month,Amt directly diverted or collected to sotrage (MG),,,
2008,January,12.67450682,,,
2008,February,0.122755514,,,
2008,March,23.66112532,,,
2008,April,4.541954018,,,
2008,May,28.84754579,,,
2008,June,28.84754579,,,
2008,July,41.12309719,,,
2008,August,39.46589775,,,
2008,September   ,30.28992308,,,
2008,October,45.05127364,,,
2008,November,30.62750074,,,
2008,December,39.49658663,,,
2009,January,49.62391653,,,
2009,February,16.63337215,,,
2009,March,34.06465514,,,
2009,April,71.228887,,,
2009,May,67.20864392,,,
2009,June,55.2399813,,,
2009,July,51.77213803,,,
2009,August,45.60367345,,,
2009,September   ,24.33628065,,,
2009,October,19.45674897,,,
2009,November,46.34020654,,,
2009,December,47.04605074,,,
2010,January,16.203792,,,
2010,February,1.964096,,,
2010,March,4.081637,,,
2010,April,1.381005,,,
2010,May,41.246016,,,
2010,June,71.50537,,,
2010,July,72.886375,,,
2010,August,53.981951,,,
2010,September   ,55.915358,,,
2010,October,36.427843,,,
2010,November,41.767729,,,
2010,December,0.767225,,,
2011,January,0,Damage to Dam on 12/31/2010,,
2011,February,0,,,
2011,March,0,,,
2011,April,0,,,
2011,May,0,,,
2011,June,4.388527,,,
2011,July,0,,,
2011,August,0,,,
2011,September   ,3.283723,,,
2011,October,48.18173,,,
2011,November,45.542476,,,
2011,December,40.81637,,,
2012,January,41.092571,,,
2012,February,56.682583,,,
2012,March,27.343899,,,
2012,April,20.224051,,,
2012,May,75.525629,,,
2012,June,72.333973,,,
2012,July,61.132488,,,
2012,August,52.539568,,,
2012,September   ,48.48862,,,
2012,October,65.67446,,,
2012,November,38.606762,,,
2012,December,0,,,
2013,January,12.75,Acre-feet(?),,
2013,February,5.36,,,
2013,March,15.72,,,
2013,April,8.83,,,
2013,May,29.52,,,
2013,June,47.02,,,
2013,July,41.53,,,
2013,August,43.84,,,
2013,September   ,38.2,,,
2013,October,35.92,,,
2013,November,28.45,,,
2013,December,21.27,,,
2014,January,41.01,,,
2014,February,43.08,,,
2014,March,34.41,,,
2014,April,30.02,,,
2014,May,55.73,,,
2014,June,44.56,,,
2014,July,38.85,,,
2014,August,35.67,,,
2014,September   ,34.34,,,
2014,October,34.57,,,
2014,November,41.55,,,
2014,December,21.94,,,
2015,January,65.62,,,
2015,February,3.28,,,
2015,March,0,,,
2015,April,0,,,
2015,May,46.93,,,
2015,June,41.01,,,
2015,July,38.8,,,
2015,August,35,,,
2015,September   ,29.72,,,
2015,October,31.48,,,
2015,November,35.8,,,
2015,December,45.91,,,
2016,January,15.31,,,
2016,February,42.96,,,
2016,March,31.79,,,
2016,April,28.11,,,
2016,May,37.84,,,
2016,June,65.34,,,
2016,July,56.31,,,
2016,August,50.15,,,
2016,September   ,35.72,,,
2016,October,8.93,,,
2016,November,0,,,
2016,December,0,,,
2017,January,0,,,
2017,February,0,,,
2017,March,0,,,
2017,April,0,,,
2017,May,0,,,
2017,June,17.28,,,
2017,July,40.69,,,
2017,August,66.56,,,
2017,September   ,39.44,,,
2017,October,6.38,,,
2017,November,2.98,,,
2017,December,0,,,
2018,January,0,,,
2018,February,0,,,
2018,March,0,,,
2018,April,0,,,
2018,May,0,,,
2018,June,14.47,,,
2018,July,41.48,,,
2018,August,43.3,,,
2018,September   ,39.41,,,
2018,October,35.87,,,
2018,November,27.32,,,
2018,December,17.99,,,
2019,January,27.66,,,
2019,February,0.78,,,
2019,March,0,,,
2019,April,0.66,,,
2019,May,10.31,,,
2019,June,20.84,,,
2019,July,69.03,,,
2019,August,59.93,,,
2019,September   ,38.34,,,
2019,October,11.17,,,
2019,November,0,,,
2019,December,24.93,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
